stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,,Main St and Travelers,41.764928,-72.673497,,,,
2,,Capitol Ave and Broad St,41.763782,-72.686885,,,,
3,,Hillside Ave and New Britain Ave,41.739189,-72.697386,,,,
4,,Market St and Constitution Plaza,41.766356,-72.671264,,,,
5,,Mountain St and Haddam St,41.728219,-72.701753,,,,
7,,Pitkin St and Main St,41.763697,-72.647247,,,,
8,,Mountain St and Haddam St,41.728245,-72.701511,,,,
9,,Hillside Ave and New Britain Ave,41.73977,-72.697227,,,,
10,,Capitol Ave and Broad St,41.763621,-72.686946,,,,
19,,Pitkin St and Main St,41.763876,-72.647441,,,,
22,,Fern St and N Main St,41.769265,-72.74292,,,,
23,,Fern St and Mountain Rd,41.765711,-72.764331,,,,
24,,N Main St and Starkel Rd,41.788001,-72.747781,,,,
25,,Cigna Campus Way and Met Life,41.808529,-72.745503,,,,
26,,Farmington Ave and oPPWoodland St,41.767203,-72.702761,,,,
27,,Main St and Pearl St,41.765438,-72.673592,,,,
28,,Main St and Save A Lot,41.770367,-72.642917,,,,
30,,Roberts St and Hillside St,41.769685,-72.618107,,,,
33,,Central Row and Travelers,41.765651,-72.672417,,,,
35,,Roberts St and Hillside St,41.769793,-72.618349,,,,
36,,Burnside Ave and William St,41.779608,-72.60848,,,,
37,,Connecticut Blvd and Main St,41.769493,-72.644349,,,,
39,,Newington Ave and New Britain Ave,41.732674,-72.706625,,,,
40,,Constance Leigh Dr and Market Sq,41.697546,-72.719321,,,,
41,,Maple Hill Ave and Opp Robbins Ave,41.679824,-72.74258,,,,
43,,Maple Hill Ave and Robbins Ave,41.680038,-72.742374,,,,
44,,Constance Leigh Dr and Opp Market Sq,41.697483,-72.719055,,,,
45,,Newington Ave and New Britain Ave,41.732888,-72.706201,,,,
49,,CTTRANSIT and 100 Leibert Rd,41.78423,-72.656562,,,,
52,,Reverend Moody Opas and Savitt Way,41.78257,-72.665799,,,,
53,,Main St and Gold St,41.764276,-72.673946,,,,
58,,Central Row and O S H,41.765839,-72.672792,,,,
59,,N Main St and Overhill Rd,41.787992,-72.748023,,,,
63,,Coventry St and Senior Citizens Ctr,41.799025,-72.68936,,,,
65,,Fern St and N Main St,41.769024,-72.743344,,,,
67,,Asylum Ave and Woodland St,41.772179,-72.700402,,,,
68,,Farmington Ave and Woodland St,41.767355,-72.702858,,,,
69,,Corbins Corner Shops and Sears,41.72566,-72.757672,,,,
71,,Tunxis Community College and Plainville Ave,41.704882,-72.878807,,,,
72,,UConn Medical Ctr and Main Rd,41.730956,-72.790118,,,,
73,,Sigourney St and Lincoln Culinary Institute,41.766748,-72.69387,,,,
82,,Main St and Connecticut Blvd,41.769028,-72.644181,,,,
84,,Silver Ln and Forbes St,41.76581,-72.599316,,,,
85,,Silver Ln and Forbes St,41.765741,-72.600843,,,,
87,,McKee St and W Center St,41.770775,-72.543471,,,,
88,,W Center St and McKee St,41.771036,-72.543882,,,,
